类型,根函数名,函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名,
"Callee","LoginDemo.Entity.BaseQueryParameter..ctor()","System.Object..ctor()",1,1.06,1.06,0.02,0.02,"mscorlib.dll",
"Root","LoginDemo.Entity.UserQueryParameter..ctor()","LoginDemo.Entity.UserQueryParameter..ctor()",1,13.09,5.13,0.23,0.09,"LoginDemo.Entity.dll",
"Caller","LoginDemo.Entity.UserQueryParameter..ctor()","LoginDemo.BLL.Test.UserBLLTest.GetUserListbyParameterTestMethod()",1,13.09,5.13,0.23,0.09,"LoginDemo.BLL.Test.dll",
"Callee","LoginDemo.Entity.UserQueryParameter..ctor()","LoginDemo.Entity.UserQueryParameter..ctor()",1,7.96,4.82,0.14,0.08,"LoginDemo.Entity.dll",
"Root","LoginDemo.Entity.UserQueryParameter..ctor()","LoginDemo.Entity.UserQueryParameter..ctor()",1,7.96,4.82,0.14,0.08,"LoginDemo.Entity.dll",
"Caller","LoginDemo.Entity.UserQueryParameter..ctor()","LoginDemo.Entity.UserQueryParameter..ctor()",1,7.96,4.82,0.14,0.08,"LoginDemo.Entity.dll",
"Callee","LoginDemo.Entity.UserQueryParameter..ctor()","LoginDemo.Entity.BaseQueryParameter..ctor()",1,3.14,2.08,0.05,0.04,"LoginDemo.Entity.dll",
"Root","System.Object..ctor()","System.Object..ctor()",1,0.00,0.00,0.00,0.00,"mscorlib.dll",
"Caller","System.Object..ctor()","LoginDemo.BLL.Test.UserBLLTest..ctor()",1,0.00,0.00,0.00,0.00,"LoginDemo.BLL.Test.dll",
"Root","System.Object..ctor()","System.Object..ctor()",1,0.45,0.45,0.01,0.01,"mscorlib.dll",
"Caller","System.Object..ctor()","LoginDemo.BLL.UserBLL..ctor()",1,0.45,0.45,0.01,0.01,"LoginDemo.BLL.dll",
"Root","System.Object..ctor()","System.Object..ctor()",1,1.06,1.06,0.02,0.02,"mscorlib.dll",
"Caller","System.Object..ctor()","LoginDemo.Entity.BaseQueryParameter..ctor()",1,1.06,1.06,0.02,0.02,"LoginDemo.Entity.dll",
"Root","System.Object..ctor()","System.Object..ctor()",1,0.59,0.59,0.01,0.01,"mscorlib.dll",
"Caller","System.Object..ctor()","LoginDemo.Commom.ReturnResponse`1..ctor()",1,0.59,0.59,0.01,0.01,"LoginDemo.Commom.dll",
